benchmark	path	run	metric	value_ms	status
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.cli.parse-args	0.457	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.cli.load-package	1.133	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module-graph	7.554	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module-order	0.258	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.normalize-type-families	0.306	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.reject-generalized-class-features	0.311	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.resolve	0.590	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.modules.distinct	0.778	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module.Prelude.cache	702.747	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module-interface.Prelude	0.337	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module.Core.preflight	0.283	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module.Core.import-scope	0.321	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module.Core.local-data	0.281	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module.Core.local-classes	0.343	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module.Core.local-defs	0.328	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module.Core.local-values	0.291	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module.Core.scopes	0.278	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module.Core.validations	0.303	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module.Core.derived-instances	0.337	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module.Core.instance-skeletons	0.332	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module.Core.finalize-context	0.438	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module.Core.constructor-bindings	0.307	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.operation.Core.instance_methods_group_finalize	0.374	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module.Core.instance-bindings	1.075	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.operation.Core.def_applyId_lower	0.320	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.operation.Core.defs_scc_classification	0.403	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.operation.Core.def_applyId	1.564	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module.Core.def-bindings	3.688	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module.Core.exports	0.271	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module.Core	14.321	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module-interface.Core	0.206	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module.Main.preflight	0.213	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module.Main.import-scope	0.211	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module.Main.local-data	0.176	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module.Main.local-classes	0.189	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module.Main.local-defs	0.191	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module.Main.local-values	0.219	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module.Main.scopes	0.185	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module.Main.validations	0.203	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module.Main.derived-instances	0.231	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module.Main.instance-skeletons	0.231	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module.Main.finalize-context	0.302	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module.Main.constructor-bindings	0.224	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.operation.Main.instance_methods_group_finalize	0.260	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module.Main.instance-bindings	0.755	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.operation.Main.def_main_lower	0.338	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.operation.Main.defs_scc_classification	0.227	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.operation.Main.def_main	0.499	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module.Main.def-bindings	1.980	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module.Main.exports	0.183	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module.Main	9.085	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module-interface.Main	0.185	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.modules.main-binding	0.197	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.modules	730.263	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.package-interface	0.253	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.cli.command	741.773	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	real	2000.000	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	user	690.000	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	sys	50.000	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	command.status	0	0
